Wall time,Step,Value
1499941924.1515603,1283,0.36363959312438965
1499941924.3890593,1289,0.3710040748119354
1499941924.5485666,1293,0.38786473870277405
1499941924.5905676,1294,0.38063421845436096
1499941924.6325662,1295,0.37107378244400024
1499941924.674567,1296,0.36738377809524536
1499941924.9185662,1302,0.3650709390640259
1499941925.3135672,1312,0.3788294196128845
1499941925.3920677,1314,0.3742910921573639
1499941925.5110664,1317,0.3640590012073517
1499941925.5515664,1318,0.35048121213912964
1499941925.6685665,1321,0.3381798267364502
1499941925.9185677,1327,0.3498711585998535
1499941925.9950671,1329,0.36254486441612244
1499941926.1125665,1332,0.3711790442466736
1499941926.2300668,1335,0.37397876381874084
1499941926.349067,1338,0.35982993245124817
1499941926.3890667,1339,0.3653576374053955
1499941927.1065667,1357,0.336935430765152
1499941927.541067,1368,0.3304310142993927
1499941927.7060668,1372,0.3385241627693176
1499941928.334568,1387,0.34912359714508057
1499941928.461568,1390,0.3706326186656952
1499941928.5070672,1391,0.3703758716583252
1499941928.5890684,1393,0.3593071401119232
1499941928.6285675,1394,0.3613808751106262
1499941929.4565678,1414,0.3580498695373535
1499941929.495568,1415,0.36080315709114075
1499941929.5365684,1416,0.37831658124923706
1499941929.7340684,1421,0.35060468316078186
1499941929.860568,1424,0.3534993827342987
1499941930.0270684,1428,0.34670817852020264
1499941930.1250682,1430,0.3531102240085602
1499941930.2990685,1434,0.33828654885292053
1499941930.4685693,1438,0.339996874332428
1499941930.6420689,1442,0.3425777554512024
1499941931.3110676,1458,0.3764244019985199
1499941931.6630678,1467,0.39166149497032166
1499941931.705069,1468,0.38658493757247925
1499941932.1255686,1479,0.36246368288993835
1499941932.451069,1487,0.3678271472454071
1499941932.489069,1488,0.3579518496990204
1499941932.609069,1491,0.36561787128448486
1499941932.6925683,1493,0.3619799017906189
1499941932.7345688,1494,0.36308708786964417
1499941934.2110682,1502,0.3528326153755188
1499941934.2535686,1503,0.35336220264434814
1499941934.5275693,1510,0.3484002649784088
1499941935.0940692,1525,0.37484729290008545
1499941935.1325693,1526,0.3790619671344757
1499941935.2585695,1529,0.38646480441093445
1499941935.5275688,1536,0.3884247839450836
1499941935.9900699,1548,0.33811309933662415
1499941936.1830695,1553,0.3637339174747467
1499941936.2215698,1554,0.3640042841434479
1499941936.3000703,1556,0.33665475249290466
1499941936.5745704,1563,0.3146614730358124
1499941937.9725702,1570,0.32694917917251587
1499941938.01257,1571,0.3225998282432556
1499941938.38607,1580,0.3049621284008026
1499941938.5560696,1584,0.32663676142692566
1499941938.6385708,1586,0.33449286222457886
1499941938.8015697,1590,0.3289276957511902
1499941939.148571,1599,0.32855424284935
1499941939.4235702,1606,0.33182990550994873
1499941939.4605694,1607,0.32962456345558167
1499941939.64557,1612,0.3317762613296509
1499941939.9425719,1620,0.32159224152565
1499941940.017071,1622,0.3124658465385437
